stock_id,stock_name,exchange,industry,xueqiu_symbol,active
000913,钱江摩托,SZ,C 制造业,SZ000913,1
000915,华特达因,SZ,C 制造业,SZ000915,1
000917,电广传媒,SZ,I 信息技术,SZ000917,1
000919,金陵药业,SZ,C 制造业,SZ000919,1
000920,沃顿科技,SZ,C 制造业,SZ000920,1
000921,海信家电,SZ,C 制造业,SZ000921,1
000922,佳电股份,SZ,C 制造业,SZ000922,1
000923,河钢资源,SZ,B 采矿业,SZ000923,1
000925,众合科技,SZ,C 制造业,SZ000925,1
000926,福星股份,SZ,K 房地产,SZ000926,1
000927,中国铁物,SZ,L 商务服务,SZ000927,1
000928,中钢国际,SZ,E 建筑业,SZ000928,1
000929,兰州黄河,SZ,C 制造业,SZ000929,1
000930,中粮科技,SZ,C 制造业,SZ000930,1
000931,中关村,SZ,C 制造业,SZ000931,1
000932,华菱钢铁,SZ,C 制造业,SZ000932,1
000933,神火股份,SZ,C 制造业,SZ000933,1
000935,四川双马,SZ,C 制造业,SZ000935,1
000936,华西股份,SZ,C 制造业,SZ000936,1
000937,冀中能源,SZ,B 采矿业,SZ000937,1
000938,紫光股份,SZ,C 制造业,SZ000938,1
000948,南天信息,SZ,I 信息技术,SZ000948,1
000949,新乡化纤,SZ,C 制造业,SZ000949,1
000950,重药控股,SZ,F 批发零售,SZ000950,1
000951,中国重汽,SZ,C 制造业,SZ000951,1
000952,广济药业,SZ,C 制造业,SZ000952,1
000953,中哲精化,SZ,C 制造业,SZ000953,1
000955,欣龙控股,SZ,C 制造业,SZ000955,1
000957,中通客车,SZ,C 制造业,SZ000957,1
000958,电投产融,SZ,D 水电煤气,SZ000958,1
000959,首钢股份,SZ,C 制造业,SZ000959,1
000960,锡业股份,SZ,C 制造业,SZ000960,1
000962,东方钽业,SZ,C 制造业,SZ000962,1
000963,华东医药,SZ,F 批发零售,SZ000963,1
000965,天保基建,SZ,K 房地产,SZ000965,1
000966,长源电力,SZ,D 水电煤气,SZ000966,1
000967,盈峰环境,SZ,C 制造业,SZ000967,1
000968,蓝焰控股,SZ,B 采矿业,SZ000968,1
000969,安泰科技,SZ,C 制造业,SZ000969,1
000970,中科三环,SZ,C 制造业,SZ000970,1
000972,中基健康,SZ,C 制造业,SZ000972,1
000973,佛塑科技,SZ,C 制造业,SZ000973,1
000975,山金国际,SZ,B 采矿业,SZ000975,1
000978,桂林旅游,SZ,N 公共环保,SZ000978,1
000980,众泰汽车,SZ,C 制造业,SZ000980,1
000981,山子高科,SZ,C 制造业,SZ000981,1
000983,山西焦煤,SZ,B 采矿业,SZ000983,1
000985,大庆华科,SZ,C 制造业,SZ000985,1
000987,越秀资本,SZ,J 金融业,SZ000987,1
000988,华工科技,SZ,C 制造业,SZ000988,1
000989,九芝堂,SZ,C 制造业,SZ000989,1
000990,诚志股份,SZ,C 制造业,SZ000990,1
